Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
VW;TIG2002H4A7DU7F;VOLKSWAGEN TIGUAN   High 2,0TDI SCR 176 kW 4MOT DSG         ;4.228E+11;V;167;D;2340
FO;TCU2001T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 130hv M6Tre Komb M1 L1H2 FW ;3.681E+11;V;159;D;3140
FO;TCU2002T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 130hv M6Tre Komb M1 L2H1 FW ;3.676E+11;V;159;D;3140
FO;TCU2003T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 130hv M6Tre Komb M1 L2H2 FW ;3.771E+11;V;162;D;3140
FO;TCU2004T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 170hv M6Tre Komb M1 L1H1 FW ;3.832E+11;V;163;D;3140
FO;TCU2005T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 170hv M6Tre Komb M1 L1H2 FW ;3.927E+11;V;163;D;3140
FO;TCU2006T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 170hv M6Tre Komb M1 L2H1 FW ;3.922E+11;V;163;D;3140
FO;TCU2007T5M6DM6C;FORD TRANSIT CUSTOM 310 2,0TDCi 170hv M6Tre Komb M1 L2H2 FW ;4.017E+11;V;166;D;3140
AU;A10100105M5BH7E;AUDI A1             Sportback Sport 1,0TFSI 70kW ultra      ;2.015E+11;V;97;B;1580
AU;A10100105A7BH7E;AUDI A1             Sportback Sport 1,0TFSI 70kW ultra Stron;2.153E+11;V;102;B;1610
HY;I3N160105M6DW7F;HYUNDAI I30 WAGON   1,6 CRDi Classic Business               ;1.9541E+11;V;96;D;1900
HY;I3N160205M6DW7F;HYUNDAI I30 WAGON   1,6 CRDi Comfort                        ;2.3279E+11;V;99;D;1900
HY;I3N160305M6DW7F;HYUNDAI I30 WAGON   1,6 CRDi Comfort Business               ;2.2429E+11;V;99;D;1900
HY;I3N160405M6DW7F;HYUNDAI I30 WAGON   1,6 CRDi Style                          ;2.727E+11;V;99;D;1900
HY;I3N160505M6DW7F;HYUNDAI I30 WAGON   1,6 CRDi Style Business                 ;2.627E+11;V;99;D;1900
SE;ALH200005A7DM7F;SEAT ALHAMBRA       2,0 TDI 184 4DRIVE Style Adva Busin DSG ;3.889E+11;V;154;D;2590
SE;ALH200105A7DM7F;SEAT ALHAMBRA       2,0 TDI 184 4DRIVE Style Business DSG   ;3.831E+11;V;152;D;2590
SE;ALH200205A6DM7F;SEAT ALHAMBRA       2,0 TDI 184 Style Advanced Business DSG ;3.799E+11;V;141;D;2550
SE;ALH200305A6DM7F;SEAT ALHAMBRA       2,0 TDI 184 Style Business DSG          ;3.73E+11;V;140;D;2550
FO;FIE10TR15M6BH7F;FORD FIESTA         1,0T 100hv M6 Trend 5ov                 ;1.53E+11;V;97;B;1670
FO;FIE1001T5M6BH7F;FORD FIESTA         1,0T 125hv M6 Titanium 5ov              ;1.801E+11;V;98;B;1670
FO;FIE11TR13M5BH7F;FORD FIESTA         1,1 70hv M5 Trend 3-ovinen              ;1.36E+11;V;101;B;1625
VO;S90200804A8BZ6L;VOLVO S90           T5 Business R-DesignPlus aut            ;5.45E+11;V;149;B;2260
VO;S90200904A8BZ6L;VOLVO S90           T5 Inscription Plus aut                 ;5.7E+11;V;149;B;2260
VO;S90200A04A8BZ6L;VOLVO S90           T5 Momentum Plus aut                    ;4.56E+11;V;149;B;2260
VO;S90200B04A8BZ6L;VOLVO S90           T5 R-Design Plus aut                    ;5.45E+11;V;149;B;2260
VO;S90200E04A8BZ6L;VOLVO S90           T6 AWD Business Inscription Plus aut    ;6.67E+11;V;165;B;2360
VO;S90200F04A8BZ6L;VOLVO S90           T6 AWD Business Plusaut                 ;5.53E+11;V;165;B;2360
VO;S90200H04A8BZ6L;VOLVO S90           T6 AWD Business R-Design Plus aut       ;6.42E+11;V;165;B;2360
VO;S90200J04A8BZ6L;VOLVO S90           T6 AWD Inscription Plus aut             ;6.67E+11;V;165;B;2360
VO;S90200L04A8BZ6L;VOLVO S90           T6 AWD Momentum Plusaut                 ;5.53E+11;V;165;B;2360
ME;VIT210704M6DV7F;MERCEDES-BENZ VITO  116CDI-3,05/34K pitk� A3                ;4.055E+11;U;159;D;3050
ME;VIT210H04A7DV7F;MERCEDES-BENZ VITO  116CDI-3,05/34K pitk� A3 A              ;4.315E+11;U;154;D;3050
FO;FIE11TI15M5BH7F;FORD FIESTA         1,1 85hv M5 Titanium5ov                 ;1.514E+11;V;101;B;1645
FO;FIE1101T5M5BH7F;FORD FIESTA         1,1 85hv M5 Trend 5ov                   ;1.435E+11;V;101;B;1645
FO;FIE15TR15M6DH7F;FORD FIESTA         1,5 TDCi 85hv M6 Trend 5ov              ;1.66E+11;V;89;D;1680
FO;EDG200105A6DU7F;FORD EDGE           2,0 TDCi 210hv PoShift A6 AWD Vignale 5D;5.03E+11;V;152;D;2555
ME;SPR300004M6DM7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37 KBkeskipitk� A2       ;7.12E+11;V;258;D;3500
